City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Ecija,ES,2022-08-05 18:03:28,37.5422,-5.0826,100.18,21,0,10.96
261,Burns Lake,CA,2022-08-05 18:05:09,54.2331,-125.7533,64.9,49,18,2.06
262,Quatre Cocos,MU,2022-08-05 18:07:56,-20.2078,57.7625,70.09,69,13,13.56
263,Poum,NC,2022-08-05 18:07:56,-20.2333,164.0167,74.19,83,10,3.58
264,Cerritos,US,2022-08-05 18:08:57,33.8583,-118.0648,93.65,51,0,5.01
265,Aswan,EG,2022-08-05 18:08:57,24.0934,32.907,99.55,17,63,12.68
266,Mozarlandia,BR,2022-08-05 18:08:57,-14.7447,-50.5706,97.88,15,19,2.86
267,Durban,ZA,2022-08-05 18:08:58,-29.8579,31.0292,66.02,90,0,3.0
268,Buala,SB,2022-08-05 18:08:58,-8.145,159.5921,78.67,81,96,2.04
269,Pokhara,NP,2022-08-05 18:08:58,28.2333,83.9833,72.9,94,97,2.19
270,Baykit,RU,2022-08-05 18:08:59,61.67,96.37,49.21,84,100,3.38
271,Alekseyevsk,RU,2022-08-05 18:08:59,57.8406,108.3492,48.24,98,69,5.03
272,Talnakh,RU,2022-08-05 18:08:59,69.4865,88.3972,55.69,94,88,5.53
273,Touros,BR,2022-08-05 18:08:55,-5.1989,-35.4608,80.24,69,43,15.97
274,Saint-Francois,FR,2022-08-05 18:09:00,46.4154,3.9054,80.04,50,98,11.5
275,Trelew,AR,2022-08-05 18:05:29,-43.249,-65.3051,46.94,55,23,20.09
276,Denizli,TR,2022-08-05 18:09:00,37.8402,29.0698,88.61,33,13,5.68
277,Ketchikan,US,2022-08-05 18:09:01,55.3422,-131.6461,63.07,77,20,9.22
278,Masumbwe,TZ,2022-08-05 18:09:01,-3.6333,32.1833,75.56,37,52,3.65
279,Gondal,IN,2022-08-05 18:09:01,21.9667,70.8,77.88,92,100,5.06
280,Sandviken,SE,2022-08-05 18:09:02,60.6167,16.7667,64.56,85,100,4.88
281,Beckley,US,2022-08-05 18:09:02,37.7782,-81.1882,87.31,66,20,5.75
